gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000242553.1,14.52487715750403,-1.4669990027421542,0.4420801766170556,-3.3184003272169273,0.0009053462731094554,0.005000474176491573
ENSG00000242574.9,784.2589299157991,1.6522880893755576,0.44977459700591826,3.673591395277969,0.0002391650769397468,0.0017895526882016554
ENSG00000242628.6,31.274367750136417,-1.6705906105459716,0.5122552166464547,-3.261246652562584,0.001109235061307732,0.005855295114135027
ENSG00000242667.1,8.014730950001848,3.0091196958002877,0.793844419563116,3.79056603743127,0.00015030436323171676,0.0012492282111609856
ENSG00000242692.1,6.222637219262662,2.4555642781439206,0.6534838638257905,3.757650975141047,0.0001715158855213854,0.0013856641744249079
ENSG00000242697.2,7.5287854694756176,2.5258631226374715,0.7725101690877275,3.269682683427084,0.0010766818913056895,0.005732535718031545
ENSG00000242759.8,290.449990701394,-0.9080166323757171,0.2788430484477511,-3.256371774123173,0.0011284588763245515,0.005941613907653331
ENSG00000242779.7,245.86707573107762,-2.391557418322334,0.6325837654259945,-3.7806177601029827,0.00015643970195527258,0.001288689985189351
ENSG00000242797.3,13.894873884930638,2.7896966732256647,0.7430200954627817,3.7545373136753906,0.00017366197419648396,0.0013978238477654564
ENSG00000242849.2,4.761368106800775,2.592225254338525,0.8007774743944718,3.237135580391671,0.0012073603497703383,0.006232783775730856
ENSG00000242858.1,6.4883360221993325,2.0260084603735313,0.6551269158799239,3.0925434618303362,0.0019844917212803906,0.009169168695734113
ENSG00000242951.1,12.878785605588554,2.6947985855310184,0.5643320605794716,4.775200230098438,1.7952853599546423e-06,3.442191521202994e-05
ENSG00000242952.1,11.805379726535024,4.318612500425241,0.907602719390946,4.758263068364625,1.95265912464492e-06,3.701532641840973e-05
ENSG00000242960.1,82.39638281606223,1.3394118753386606,0.4065313382248085,3.2947321630540003,0.0009851552872390922,0.00533946236868399
ENSG00000242992.3,27.587009394348097,2.6302344611395543,0.4564099724833367,5.7628768425641335,8.269213787420075e-09,3.448108541667718e-07
ENSG00000243007.1,5.249341259143327,3.656980856620424,0.9009950201069545,4.058824716019312,4.932031618370796e-05,0.0005181518553200239
ENSG00000243071.1,7.145389549462629,2.1047294809140316,0.6731926736379702,3.126488987974212,0.0017690712967383853,0.008388219243133582
ENSG00000243156.9,2821.7385411163355,-1.5540051492021942,0.34164073260283717,-4.548653017346004,5.399037869034743e-06,8.547594295631673e-05
ENSG00000243199.1,97.73256999215275,1.1656407409172693,0.3397595382118517,3.430781508157256,0.0006018451441339236,0.0036292596032092006
ENSG00000243230.1,10.033720161754555,2.782659749250676,0.7798204218474065,3.568334030876638,0.0003592583118665271,0.0024487199257967208
ENSG00000243232.6,558.9730816366157,-2.724599939393358,0.5184528240879126,-5.255251418847234,1.4782239079632442e-07,4.195881707987977e-06
ENSG00000243244.7,646.459795485973,3.6869638943237555,0.6698062073422542,5.504523329148261,3.7016844431159665e-08,1.275093015910675e-06
ENSG00000243317.8,2659.9591776623197,1.4828126370570038,0.3447667472649786,4.300915470590188,1.7009393963200485e-05,0.00021880708939194435
ENSG00000243364.8,73.05101012704698,1.8041959668164742,0.3159985927720827,5.709506333522724,1.1330434101132867e-08,4.488351520326706e-07
ENSG00000243388.1,3.515134077748856,4.101389188318639,1.2128101606030524,3.3817239676482282,0.0007203248638939615,0.004178163406268657
ENSG00000243429.1,10.87420185029161,1.8418164377105735,0.5239681628452377,3.5151304379052184,0.0004395380441911257,0.0028612701748113576
ENSG00000243445.1,12.63625172525648,3.691459818957927,0.8825669395649801,4.182640039493728,2.881434188250329e-05,0.0003344127217962047
ENSG00000243479.3,14.985200157495882,7.447544156738376,1.866193892188393,3.9907665478451495,6.586008430437954e-05,0.0006519930506824961
ENSG00000243498.2,10.0310692564802,2.924923369481655,0.7393887007168097,3.955867011013356,7.625757656703698e-05,0.0007291978487704207
ENSG00000243517.1,28.603690106196463,2.9878318401725537,0.47190451155861424,6.331433090784175,2.4289449835607393e-10,1.4254573207445672e-08
ENSG00000243547.1,78.96244451649409,3.0932865968285923,0.32454808758352033,9.531057846805384,1.5568857142481393e-21,5.591710731293618e-19
ENSG00000243663.1,8.043217309137896,2.9108714984952084,0.7600248658293006,3.8299687672968608,0.00012815952436650134,0.001098387880324673
ENSG00000243680.1,12.222172342502999,2.5186173348542353,0.5367292966546567,4.692528152557262,2.6984938643988118e-06,4.852425181929959e-05
ENSG00000243716.10,296.0603084066571,2.3819803252317997,0.5990326465901273,3.9763781469853816,6.99728274761308e-05,0.0006851537817973592
ENSG00000243746.1,31.6580009134161,3.3849662270718723,0.5842647290690927,5.793548812137145,6.8914443573793184e-09,2.9279942690019984e-07
ENSG00000243759.1,11.047405180337279,1.863498536055765,0.5471209195607979,3.406008561236684,0.0006592011200252054,0.0039069088163078015
ENSG00000243824.1,5.480067799177916,3.359226398357367,0.8641212702508166,3.88744787798399,0.00010130373142156112,0.0009141770898836155
ENSG00000243829.1,42.43237509246171,2.6797109387710347,0.5819783807521788,4.604485368180926,4.13487086110268e-06,6.8753713818224e-05
ENSG00000243830.2,3.7780346289457976,3.1345689496899847,1.0159725850913484,3.0852889100429306,0.0020335451535761244,0.009336820812099286
ENSG00000243859.3,7.691663138932126,4.2924597576712715,0.8925318446701228,4.809307122546145,1.5145435469365047e-06,2.9822558131453672e-05
